PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Saddiq Bey,ATL,76,24,52,2100,350,84,178,47.2,101,116,87.1,284,81.1,75,21.4,18,5.1,31,8.9,58,16.6
Sam Hauser,BOS,80,55,25,1290,47,8,15,53.3,4,6,66.7,21,44.7,26,55.3,8,17,2,4.3,3,6.4
Sam Merrill,CLE,5,4,1,59,1,0,0,0,0,0,0,0,0,1,100,1,100,0,0,0,0
Sandro Mamukelashvili,SAS,41,22,19,613,80,11,30,36.7,10,16,62.5,32,40,30,37.5,7,8.8,10,12.5,8,10
Santi Aldama,MEM,77,47,30,1682,167,39,80,48.8,17,22,77.3,100,59.9,57,34.1,25,15,14,8.4,11,6.6
Scottie Barnes,TOR,77,38,39,2678,515,120,263,45.6,50,62,80.6,297,57.7,176,34.2,39,7.6,29,5.6,31,6
Scotty Pippen Jr.,LAL,6,1,5,32,14,3,6,50,1,2,50,7,50,5,35.7,1,7.1,1,7.1,1,7.1
Serge Ibaka,MIL,16,11,5,185,11,4,7,57.1,0,0,0,8,72.7,3,27.3,0,0,1,9.1,0,0
Seth Curry,BKN,61,37,24,1211,187,37,67,55.2,10,10,100,84,44.9,99,52.9,22,11.8,12,6.4,5,2.7
Shaedon Sharpe,POR,80,32,48,1779,215,65,130,50,19,29,65.5,151,70.2,49,22.8,11,5.1,16,7.4,15,7
Shai Gilgeous-Alexander,OKC,68,33,35,2416,1622,390,753,51.8,350,392,89.3,1162,71.6,544,33.5,112,6.9,88,5.4,196,12.1
Shake Milton,PHI,76,52,24,1567,493,102,229,44.5,35,38,92.1,244,49.5,201,40.8,49,9.9,26,5.3,19,3.9
Shaquille Harrison,LAL,4,1,3,96,27,5,9,55.6,2,2,100,12,44.4,14,51.9,4,14.8,1,3.7,1,3.7
Simone Fontecchio,UTA,52,25,27,766,99,24,52,46.2,3,4,75,52,52.5,39,39.4,10,10.1,4,4,2,2
Skylar Mays,POR,5,1,4,166,56,11,22,50,1,2,50,25,44.6,31,55.4,8,14.3,2,3.6,1,1.8
Spencer Dinwiddie,BKN,79,41,38,2725,970,206,416,49.5,151,184,82.1,588,60.6,378,39,106,10.9,54,5.6,92,9.5
Stanley Johnson,SAS,29,5,24,459,80,16,31,51.6,12,19,63.2,46,57.5,34,42.5,10,12.5,3,3.8,10,12.5
Stanley Umude,DET,1,0,1,2,1,0,0,0,2,2,100,2,200,0,0,0,0,0,0,1,100
Stephen Curry,GSW,55,29,26,1918,510,146,257,56.8,66,72,91.7,367,72,182,35.7,43,8.4,27,5.3,35,6.9
Sterling Brown,LAL,4,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Adams,MEM,42,28,14,1133,39,15,26,57.7,4,10,40,35,89.7,5,12.8,0,0,2,5.1,5,12.8
Svi Mykhailiuk,CHA,32,16,16,468,90,14,33,42.4,2,4,50,30,33.3,47,52.2,17,18.9,6,6.7,2,2.2
T.J. McConnell,IND,75,31,44,1526,970,195,362,53.9,25,28,89.3,424,43.7,506,52.2,114,11.8,64,6.6,14,1.4
